Site ID,X,Y,2012,2013,2014,2015,2016,2017,2018
1,463872,99874,42.54,41.9,42.57,44.33,43.52,38.8,42.92
2,463705,99371,17.48,16.5,16.55,15.74,17.4,16.38,17.09
3,463408,99460,26.63,22.1,25.67,24.07,25.75,23.7,24.13
4,463190,100390,36.35,31.51,27.97,30.54,34.7,34.2,34.04
5,464230,102194,28.62,27.49,28.93,27.53,29.52,24.48,28.08
6,464331,102197,35.62,38.29,34.85,46.06,36.08,32.08,30.86
7,464291,102279,29.78,30,26.53,26.05,28.09,27.32,27.74
8,466690,104355,28.81,27.22,28.37,28.43,29.94,26.75,25.97
9,465621,105528,35.07,31.95,33.88,34.98,40.86,37.06,36.7
10,467107,104850,17.91,17.66,16.66,16.48,19.54,17.58,17.17
11,466869,103457,31.76,29.54,33.29,28.27,28.1,23.5,22.9
12,466074,103747,,,,,,,
14,466109,103736,22.68,21.61,27.21,26.87,22.2,21.28,21.66
15,466120,101324,28.82,28.15,27.57,26.21,28.97,28.95,27.64
16,465474,104205,36.44,33.98,32.32,32.01,36.45,35.44,29.59
18,466097,101332,29.52,27.8,28.9,26.91,29.3,29.62,26.01
19,466392,100226,34.52,30.1,37.24,35.08,39.61,34.72,37.68
20,466712,99415,26.07,27.42,28.9,27.58,29.12,29.73,28.42
21,465209,98964,35.79,32.88,35.18,35.28,40.05,38.37,36.5
22,464778,99306,31.61,28.69,30.8,28.06,31.23,26.48,29.28
23,464974,99766,41.05,30.4,28.8,31,37,34,34.6
24,465111,100737,39.12,42.48,40.49,36.32,37.74,38.3,36.76
25,465036,101547,44.58,38.69,52.18,41.79,43.65,44.28,38.21
26,464900,101976,50.48,50.93,40.81,43.12,49.16,43.09,46.02
28,464825,101933,,,,,,,
29,464551,101787,,,,,,,
30,464478,101457,37.97,38.83,44.12,34.31,39.34,38.48,39.17
32,464559,100980,35.99,31.09,34.93,31.68,33.51,32.87,31.87
34,464425,100893,38.8,34.65,35.52,34.65,36.06,36.17,33.34
35,463837,99759,31.1,28.96,41.42,28.48,30.68,30.13,30.08
36,464501,99329,32.84,30.33,34.81,29,33.32,29.74,31.47
37,464925,102129,,,,,,,
38,465403,103952,,,,,,,
39,466004,102348,,,,,,,
40,464397,101270,,,,,,,
42,464552,101940,,,,,,,38.05
43,464774,101922,,,,,,,32.5
44,464336,100833,,,,,,,40.41
45,464344,100808,,,,,,,41.97
46,464339,101273,,,,,,,44.51
47,464586,102125,,,,,,,36.77
48,464597,102119,,,,,,,30.54
49,463042,100315,,,,,,,34.64
50,463388,100398,,,,,,,40.37
51,463333,100395,,,,,,,33.18
52,463235,100412,,,,,,,32.29
53,463835,100258,,,,,,,
54,463835,100257,,,,,,33.82,36.28
55,463224,99590,,,,,,30.4,25.38
56,463261,99782,,,,,,36.17,35.09
57,463503,99362,,,,,,,20.32
58,463487,99659,,,,,,33.8,29.32
59,466263,100334,,,,,,,38.23
60,466201,100478,,,,,,,29.77
61,466136,100610,,,,,,,33.67
62,466165,100573,,,,,,,22.04
63,466354,100172,,,,,,,34.17
64,466326,100165,,,,,,,37.88
65,466681,100373,,,,,,27.62,28.24
66,466267,100216,,,,,,,31.9
67,466457,100253,,,,,,,36.73
68,466501,100277,,,,,,,36.86
69,466396,100248,,,,,,,31.14
70,466667,99546,,,,,,23.69,25.14
71,465711,105624,,,,,,,27.78
72,465657,105577,,,,,,,26.49
73,465653,105544,,,,,,,27.4
74,465610,105383,,,,,,,37.27
75,465618,105619,,,,,,,25.71
76,466002,102053,,,,,,,31.25
77,466008,102097,,,,,,,21.23
78,466523,99599,,,,,,,25.04
79,466555,99598,,,,,,,39.32
80,465204,98978,,,,,,,38.35
81,465278,98968,,,,,,,35.22
82,465178,98945,,,,,,,30.79
83,465166,98982,,,,,,,32.43
84,465198,98996,,,,,,,42.82
85,465150,98968,,,,,,,40.41
86,465201,99734,,,,,,,28.89
87,465183,99904,,,,,,,27.3
88,465186,98996,,,,,,,35.35
89,465190,98946,,,,,,,30.85
90,466095,100813,,,,,,,23.98
91,466070,100819,,,,,,,26.69
92,466525,99736,,,,,,28.69,27.27
93,464826,99500,,,,,,,35.04
94,465162,100077,,,,,,,40.33
95,465109,100005,,,,,,,29.31
96,465465,98937,,,,,,,23.47
97,465896,99852,,,,,,,25.84
98,466700,100591,,,,,,,22.51
99,466727,100572,,,,,,,23.57
100,467783,105677,,,,,,,22.14
101,467693,105687,,,,,,,28.17
102,464585,105714,,,,,,,28.72
103,465556,103968,,,,,,,24.73
104,464120,102717,,,,,,20.67,
105,464097,102773,,,,,,21.82,
106,464046,102932,,,,,,21.18,
107,464058,103007,,,,,,22.57,
108,464951,102418,,,,,,,44.18
109,464961,102383,,,,,,,35.76
110,464913,102419,,,,,,,27.72
111,464898,102414,,,,,,,28.73
112,465116,101029,,,,,,20.84,
113,465119,101015,,,,,,20.07,
114,462331,105651,,,,,,15.71,
115,464953,100705,,,,,,30.11,
116,463891,100479,,,,,,42.56,
117,463901,100508,,,,,,,50.42
118,463951,100508,,,,,,,50.38
119,464098,100748,,,,,,,31.97
120,464086,100765,,,,,,,47.51
121,464930,102071,,,,,,,37.32
122,464918,102090,,,,,,,37.68
124,462491,106553,,,,,,,28.56
125,465624,104626,,,,,,,39.58
126,463756,105253,,,,,,,37.53
134,464919,100464,,,,,,,25.41
C2,464925,102129,43.9,39.68,45.68,38.4,41.21,44.6,40.57
C4,465403,103952,21.1,20.27,22.17,18.78,20.05,19.41,18.68
C6,466004,102348,36.1,33.52,35.93,32.81,34.34,35.22,34
C7,464397,101270,36.9,35.94,36.51,30.25,35.48,33.54,33.95
C8,463835,100259,,,,,,,30.52
